captureArrivalUs,rifeStartUs,rifeEndUs,presentedUs,inferenceMs,dropped
21084608,21084939,21117357,21117702,32.418,0
21117953,21118163,21150661,21151523,32.498,0
21151790,21152186,21185175,21185633,32.989,0
21185936,21186240,21219032,21219759,32.792,0
21220068,21220416,21252867,21254851,32.451,0
21255401,21255986,21288789,21289895,32.803,0
21325894,0,0,21326131,0.000,0
21361890,0,0,21362435,0.000,0
21361890,21363352,21395376,21396382,32.024,0
21396722,21397420,21430235,21431255,32.816,0
21431610,21432140,21465600,21466776,33.461,0
21467136,21468029,21501167,21501581,33.138,0
21501805,21502006,21534276,21534983,32.270,0
21535501,21536153,21569103,21569618,32.950,0
21570065,21570412,21603902,21604468,33.490,0
21604797,21605055,21637644,21638723,32.589,0
21639438,21640207,21674785,21675530,34.578,0
21675833,21676630,21710276,21710683,33.646,0
21710957,21711198,21744393,21745243,33.195,0
21745753,21746248,21778997,21780515,32.748,0
21780856,21781531,21813706,21815155,32.175,0
21815920,21816493,21849651,21850701,33.158,0
21851026,21851513,21884468,21884954,32.955,0
21885205,21885464,21917865,21918435,32.402,0
21918801,21919255,21951686,21952085,32.431,0
21952346,21952575,21985552,21985946,32.977,0
21986186,21986390,22019194,22021180,32.805,0
22021680,22021933,22054218,22055076,32.285,0
